TransactionID,CustomerID,Date,Amount
1,C0103,2026-03-12,1060
2,C0015,2025-04-17,5391
3,C0189,2025-01-21,5934
4,C0122,2026-04-12,13726
5,C0075,2026-04-04,14623
6,C0117,2025-04-10,11311
7,C0152,2025-05-11,1885
8,C0053,2025-12-10,14003
9,C0158,2026-01-21,5511
10,C0188,2025-10-04,1384
11,C0058,2025-01-22,6596
12,C0089,2026-04-20,9474
13,C0170,2026-04-21,2947
14,C0015,2025-07-09,2934
15,C0190,2025-09-01,1728
16,C0131,2026-04-30,4090
17,C0135,2025-01-21,11280
18,C0167,2025-10-01,10827
19,C0089,2025-11-12,10453
20,C0009,2025-12-12,2812
21,C0130,2025-12-06,6435
22,C0111,2026-03-31,10948
23,C0008,2025-02-04,14741
24,C0081,2026-01-23,3273
25,C0134,2025-04-16,4043
26,C0054,2026-04-22,13190
27,C0146,2025-06-11,4497
28,C0190,2025-09-27,13303
29,C0015,2026-04-01,7829
30,C0190,2025-10-23,8092
31,C0082,2025-02-22,5087
32,C0154,2025-08-05,5059
33,C0188,2026-01-15,8884
34,C0041,2025-06-06,2262
35,C0045,2025-03-06,8206
36,C0009,2025-12-10,13640
37,C0136,2026-04-17,5458
38,C0081,2026-01-27,14186
39,C0163,2025-10-16,12866
40,C0005,2026-05-05,10670
41,C0041,2025-01-28,6478
42,C0072,2025-02-02,7415
43,C0151,2025-04-09,2931
44,C0104,2026-04-07,11082
45,C0001,2025-01-05,7585
46,C0142,2026-01-28,406
47,C0015,2026-04-06,8058
48,C0063,2025-08-29,8955
49,C0096,2026-04-30,7774
50,C0143,2025-06-20,4836
51,C0036,2025-06-09,10114
52,C0086,2025-01-28,14131
53,C0044,2025-12-06,10373
54,C0075,2026-05-21,10430
55,C0092,2026-04-18,11694
56,C0190,2025-08-13,13896
57,C0121,2025-10-10,12421
58,C0121,2025-09-16,7726
59,C0198,2026-04-01,5730
60,C0137,2025-11-14,3948
61,C0051,2025-08-22,13171
62,C0152,2026-01-09,12135
63,C0096,2026-04-17,3504
64,C0180,2025-04-23,2053
65,C0186,2025-09-25,3781
66,C0039,2026-01-21,7754
67,C0113,2025-03-22,898
68,C0113,2025-01-02,4937
69,C0054,2025-08-13,6728
70,C0147,2025-05-10,5372
71,C0172,2026-02-20,14782
72,C0068,2026-03-15,402
73,C0184,2025-05-03,12888
74,C0038,2025-10-07,8204
75,C0116,2025-07-17,7325
76,C0139,2026-05-26,6487
77,C0097,2025-07-20,9539
78,C0187,2025-11-22,2711
79,C0093,2026-02-07,9761
80,C0195,2026-05-26,8538
81,C0148,2026-05-04,3176
82,C0168,2025-12-04,11311
83,C0129,2026-04-18,14457
84,C0151,2026-02-19,4261
85,C0042,2025-09-20,14275
86,C0144,2025-12-12,9015
87,C0060,2025-01-02,5623
88,C0140,2026-03-29,3308
89,C0160,2025-01-09,7600
90,C0099,2025-07-27,1354
91,C0148,2025-06-01,6397
92,C0120,2026-02-24,9837
93,C0104,2025-09-11,11575
94,C0099,2025-06-02,14372
95,C0146,2025-12-04,12169
96,C0054,2025-06-12,12183
97,C0189,2025-06-10,5899
98,C0033,2026-02-02,9692
99,C0048,2026-05-19,6215
100,C0136,2025-05-15,1418
101,C0145,2025-02-02,11127
102,C0187,2026-04-15,3646
103,C0022,2025-02-07,14765
104,C0109,2026-03-14,6095
105,C0027,2025-01-27,425
106,C0021,2025-10-11,7222
107,C0192,2026-04-26,12940
108,C0061,2026-05-31,4842
109,C0192,2025-02-18,7879
110,C0017,2025-06-21,9635
111,C0158,2026-04-22,1269
112,C0117,2026-06-02,14634
113,C0124,2025-02-06,2527
114,C0093,2026-05-12,501
115,C0181,2025-04-09,899
116,C0116,2025-07-10,10692
117,C0160,2025-06-10,3527
118,C0067,2025-05-08,10457
119,C0025,2025-11-19,2095
120,C0174,2025-10-15,4214
121,C0086,2025-06-04,10929
122,C0130,2025-04-14,8296
123,C0137,2025-09-03,7543
124,C0039,2026-04-22,6001
125,C0026,2026-02-12,8916
126,C0060,2026-05-21,3150
127,C0057,2025-02-05,4980
128,C0020,2025-11-17,12239
129,C0144,2026-04-16,9558
130,C0092,2025-12-20,13321
131,C0032,2025-02-20,12128
132,C0186,2025-07-09,1348
133,C0150,2025-11-10,7709
134,C0049,2025-02-23,2691
135,C0101,2025-09-21,3324
136,C0060,2025-01-05,5422
137,C0196,2025-12-16,4342
138,C0099,2025-09-26,4665
139,C0124,2025-04-16,1893
140,C0147,2025-04-30,1030
141,C0019,2025-02-27,14462
142,C0090,2026-04-19,8508
143,C0062,2025-05-07,7760
144,C0140,2025-02-27,13121
145,C0001,2025-04-06,8005
146,C0118,2026-05-03,7604
147,C0117,2025-09-29,13700
148,C0192,2026-03-23,780
149,C0022,2025-09-04,8330
150,C0076,2025-06-03,1879
151,C0179,2025-03-27,2944
152,C0029,2025-08-08,5388
153,C0047,2025-04-04,14261
154,C0190,2026-03-29,13715
155,C0144,2025-08-06,6817
156,C0176,2025-12-07,13038
157,C0100,2025-10-16,7621
158,C0101,2025-01-23,6081
159,C0010,2025-04-10,3049
160,C0180,2025-08-11,7105
161,C0147,2026-03-18,10023
162,C0001,2025-11-21,4811
163,C0016,2025-12-02,6078
164,C0002,2026-05-12,9287
165,C0160,2026-04-20,1051
166,C0152,2026-01-15,9960
167,C0161,2026-03-03,5932
168,C0012,2026-02-21,13679
169,C0074,2025-02-12,7923
170,C0029,2026-02-01,4307
171,C0095,2025-10-29,12361
172,C0035,2025-03-31,9167
173,C0093,2026-02-22,8506
174,C0105,2025-07-15,1025
175,C0114,2026-05-08,11538
176,C0157,2026-01-11,7787
177,C0021,2026-01-29,6188
178,C0152,2025-07-11,2986
179,C0177,2025-04-09,4279
180,C0036,2025-04-06,10079
181,C0151,2025-07-09,12524
182,C0012,2026-01-04,3966
183,C0013,2025-10-06,14752
184,C0099,2025-09-30,12344
185,C0062,2025-12-08,4692
186,C0187,2025-01-19,14712
187,C0100,2026-01-31,14980
188,C0147,2025-03-17,4560
189,C0199,2026-01-19,5146
190,C0111,2025-05-24,5180
191,C0069,2025-04-09,4691
192,C0025,2026-04-14,7851
193,C0053,2025-05-31,1367
194,C0057,2025-02-08,2356
195,C0181,2025-02-11,5505
196,C0167,2026-02-02,11686
197,C0122,2025-05-13,7530
198,C0075,2025-01-09,7441
199,C0186,2026-05-07,7256
200,C0007,2025-06-23,14164
201,C0168,2025-06-19,13904
202,C0178,2025-07-13,1740
203,C0029,2025-06-14,5741
204,C0083,2026-05-11,9780
205,C0065,2025-12-08,8891
206,C0145,2026-05-26,7694
207,C0045,2025-05-12,10219
208,C0070,2025-09-09,3686
209,C0019,2026-03-21,3123
210,C0182,2025-06-16,4386
211,C0090,2025-02-08,11914
212,C0173,2025-08-08,3909
213,C0058,2026-04-21,8847
214,C0061,2025-12-27,10350
215,C0001,2026-01-22,10388
216,C0092,2025-07-09,704
217,C0191,2026-05-23,11832
218,C0153,2025-04-27,333
219,C0058,2025-06-22,2052
220,C0047,2025-05-29,4375
221,C0118,2025-08-01,12690
222,C0164,2025-08-15,14170
223,C0020,2026-03-17,6390
224,C0049,2025-05-23,3686
225,C0001,2026-01-08,12029
226,C0118,2025-09-16,2903
227,C0185,2025-01-12,1553
228,C0016,2025-12-24,11411
229,C0152,2026-01-08,13519
230,C0122,2025-12-14,7019
231,C0090,2025-11-12,739
232,C0101,2025-02-10,5035
233,C0192,2026-05-17,7302
234,C0145,2025-07-20,13416
235,C0157,2025-09-10,12877
236,C0082,2025-09-13,5004
237,C0047,2026-03-26,209
238,C0056,2025-08-30,7618
239,C0109,2025-01-05,1215
240,C0033,2026-01-09,11528
241,C0146,2025-08-12,13750
242,C0177,2025-10-09,4358
243,C0086,2026-04-06,4200
244,C0098,2025-04-15,7466
245,C0129,2026-02-09,8375
246,C0055,2026-06-02,12963
247,C0197,2026-03-13,7390
248,C0053,2026-04-03,4378
249,C0145,2025-03-26,7445
250,C0110,2025-01-01,12538
251,C0173,2026-03-22,4744
252,C0113,2026-05-03,10215
253,C0034,2025-12-14,14630
254,C0072,2025-06-03,449
255,C0162,2026-03-14,10557
256,C0003,2025-11-02,4563
257,C0193,2025-02-23,8627
258,C0133,2026-02-05,4919
259,C0047,2025-07-26,1452
260,C0085,2025-03-16,4730
261,C0103,2026-02-26,13251
262,C0038,2025-11-02,6441
263,C0082,2025-12-01,7202
264,C0179,2026-03-23,10409
265,C0052,2025-09-06,4461
266,C0079,2025-04-16,7930
267,C0081,2025-05-13,5092
268,C0132,2025-05-18,6527
269,C0145,2025-11-26,3032
270,C0084,2025-03-10,10985
271,C0006,2025-02-22,5769
272,C0126,2025-02-12,12215
273,C0115,2025-04-21,960
274,C0151,2025-07-02,6438
275,C0118,2026-06-04,9291
276,C0104,2025-10-08,11658
277,C0096,2025-07-14,866
278,C0093,2025-03-02,6977
279,C0051,2026-02-07,8156
280,C0005,2026-04-11,13091
281,C0170,2026-02-09,7181
282,C0001,2025-08-21,723
283,C0090,2025-02-15,2793
284,C0177,2025-03-19,10145
285,C0045,2025-03-14,7137
286,C0047,2025-05-01,10653
287,C0056,2025-12-16,12594
288,C0063,2025-02-17,3844
289,C0081,2025-01-26,13768
290,C0008,2025-09-10,6011
291,C0047,2025-02-25,13213
292,C0014,2026-04-19,12515
293,C0078,2025-08-04,564
294,C0154,2025-11-08,13370
295,C0007,2025-01-03,1846
296,C0151,2025-12-29,6070
297,C0018,2026-05-21,7149
298,C0115,2025-01-15,13703
299,C0119,2026-04-30,10467
300,C0039,2025-09-30,13742
301,C0086,2026-04-19,325
302,C0044,2025-05-25,3796
303,C0025,2026-01-29,8458
304,C0109,2025-05-26,10550
305,C0111,2026-04-15,14569
306,C0111,2026-01-04,7091
307,C0083,2026-03-01,11052
308,C0006,2025-10-09,1961
309,C0187,2025-11-11,1076
310,C0198,2026-01-12,9704
311,C0181,2025-10-04,1933
312,C0070,2026-05-18,6967
313,C0004,2025-12-16,7186
314,C0190,2025-12-16,14118
315,C0152,2025-05-17,13246
316,C0131,2025-08-31,2790
317,C0040,2025-08-17,10987
318,C0152,2025-08-11,205
319,C0066,2026-04-13,14243
320,C0075,2025-01-04,6166
321,C0134,2025-04-28,11320
322,C0094,2026-05-19,14509
323,C0179,2026-03-17,4489
324,C0079,2026-01-27,13946
325,C0173,2025-10-27,14156
326,C0070,2026-02-14,9533
327,C0068,2025-08-13,13019
328,C0113,2025-05-20,13046
329,C0001,2025-03-31,13141
330,C0064,2025-05-19,7188
331,C0003,2025-01-10,460
332,C0151,2025-06-21,7241
333,C0013,2025-06-17,12105
334,C0084,2025-11-17,1542
335,C0101,2025-11-25,3032
336,C0009,2026-02-23,12069
337,C0095,2025-11-14,12419
338,C0178,2025-11-30,2108
339,C0120,2026-04-04,5456
340,C0162,2026-05-28,5615
341,C0064,2025-12-15,8207
342,C0011,2025-08-17,6613
343,C0060,2025-10-18,5020
344,C0165,2025-01-05,3098
345,C0123,2025-03-19,7777
346,C0062,2025-05-12,800
347,C0042,2025-03-30,10841
348,C0040,2025-10-22,13103
349,C0014,2026-02-26,6184
350,C0023,2025-05-23,9384
351,C0153,2025-05-25,1448
352,C0194,2025-04-14,4218
353,C0039,2025-07-17,5965
354,C0067,2026-01-26,1402
355,C0200,2026-03-24,7867
356,C0015,2025-10-16,10427
357,C0155,2026-02-24,2404
358,C0038,2026-03-17,1320
359,C0155,2025-10-16,5573
360,C0196,2026-06-01,14146
361,C0074,2025-04-28,11245
362,C0141,2025-06-08,13302
363,C0109,2025-08-04,8063
364,C0015,2025-06-06,3919
365,C0005,2025-06-06,14582
366,C0068,2025-05-10,294
367,C0115,2025-10-19,993
368,C0043,2025-10-10,2316
369,C0148,2025-01-11,11717
370,C0074,2025-05-14,13199
371,C0023,2025-12-12,10741
372,C0107,2026-01-31,10657
373,C0141,2025-07-29,1184
374,C0111,2026-04-05,7347
375,C0100,2025-11-20,11327
376,C0037,2025-05-07,3377
377,C0092,2026-01-13,6224
378,C0051,2025-01-29,11925
379,C0040,2025-10-24,3997
380,C0011,2026-02-11,1992
381,C0046,2026-02-09,3617
382,C0110,2026-02-24,9597
383,C0057,2025-01-01,2054
384,C0182,2026-01-06,5231
385,C0143,2026-03-07,7312
386,C0053,2025-05-17,8593
387,C0180,2025-11-09,4412
388,C0154,2025-09-01,736
389,C0090,2025-03-16,8173
390,C0130,2025-07-29,8866
391,C0162,2025-12-13,3800
392,C0128,2025-06-28,1405
393,C0152,2025-01-25,2190
394,C0180,2026-05-16,6175
395,C0161,2025-06-26,4580
396,C0063,2025-06-05,5788
397,C0049,2025-03-25,3632
398,C0177,2025-05-28,3901
399,C0086,2026-04-21,5382
400,C0189,2025-12-26,6904
401,C0071,2025-05-21,9381
402,C0179,2025-11-14,2279
403,C0158,2025-10-12,11768
404,C0173,2026-04-22,8677
405,C0144,2026-02-28,7386
406,C0018,2026-01-06,11449
407,C0194,2026-05-17,5283
408,C0113,2025-04-24,11685
409,C0166,2025-09-21,12542
410,C0103,2026-04-03,10293
411,C0162,2026-01-15,12456
412,C0087,2025-02-24,7843
413,C0032,2025-06-27,3662
414,C0093,2025-01-08,1032
415,C0057,2026-03-19,14278
416,C0072,2025-02-23,3510
417,C0067,2025-02-20,7976
418,C0092,2025-09-21,8170
419,C0096,2025-03-29,9703
420,C0120,2026-05-06,12375
421,C0196,2026-05-15,8556
422,C0182,2026-04-14,5205
423,C0055,2025-01-07,4625
424,C0007,2025-05-31,11548
425,C0147,2026-01-16,9306
426,C0036,2025-10-12,4377
427,C0002,2026-01-21,13194
428,C0119,2026-01-31,1755
429,C0005,2025-09-13,14245
430,C0137,2025-08-14,13564
431,C0172,2026-05-15,11969
432,C0086,2025-12-30,13791
433,C0081,2025-06-07,2879
434,C0059,2025-05-08,5031
435,C0114,2025-04-25,11672
436,C0014,2025-08-25,1504
437,C0103,2025-07-20,6077
438,C0022,2025-08-23,2741
439,C0004,2026-03-18,10468
440,C0109,2025-03-16,7181
441,C0146,2025-05-08,12316
442,C0042,2025-12-22,8432
443,C0166,2025-02-03,7384
444,C0165,2025-06-02,7341
445,C0122,2025-12-08,12444
446,C0027,2025-10-14,845
447,C0168,2025-09-25,14260
448,C0053,2026-03-31,11345
449,C0173,2026-02-05,3169
450,C0190,2025-05-10,3267
451,C0054,2025-12-29,12168
452,C0051,2025-10-19,5690
453,C0026,2025-01-29,8540
454,C0011,2025-10-23,10450
455,C0164,2025-04-23,8578
456,C0039,2025-08-15,1533
457,C0098,2025-02-24,6966
458,C0152,2026-02-10,6412
459,C0056,2025-10-16,10177
460,C0036,2025-05-28,1962
461,C0081,2026-05-22,12852
