Area,Bedrooms,Age,Location,Price
1360,2,1.0,North,5675000.0
4272,5,14.0,West,15174000.0
3592,2,10.0,East,14054000.0
966,2,7.0,East,4288000.0
4926,2,25.0,North,19797000.0
3944,2,4.0,North,16144000.0
3671,3,5.0,North,15144000.0
3419,1,25.0,South,12142000.0
630,4,3.0,North,3068000.0
2185,2,18.0,East,8586000.0
1269,5,19.0,North,5951000.0
2891,2,32.0,East,10965000.0
2933,5,19.0,West,10567000.0
1684,3,11.0,South,6278000.0
3885,5,0.0,West,13789000.0
4617,4,25.0,West,15638000.0
3404,1,13.0,East,12761000.0
974,5,37.0,West,3809000.0
1582,5,36.0,East,6572000.0
3058,1,10.0,North,12445000.0
2547,4,35.0,North,10541000.0
3247,2,12.0,East,12829000.0
1475,5,2.0,North,6524000.0
2306,1,32.0,South,7731000.0
689,3,5.0,West,2859000.0
3234,1,9.0,South,11569000.0
3505,3,4.0,West,12118000.0
2399,4,22.0,North,10077000.0
1767,2,9.0,South,6513000.0
2028,1,1.0,North,8722000.0
3702,5,12.0,West,13408000.0
4056,4,39.0,East,15285000.0
4390,1,1.0,East,16657000.0
1146,5,19.0,South,4513000.0
3388,1,0.0,North,14183000.0
2935,3,36.0,North,11429000.0
1100,1,8.0,South,4039000.0
2863,1,16.0,East,10790000.0
2561,1,8.0,West,8908000.0
741,4,10.0,South,3414000.0
2541,1,14.0,West,8554000.0
3324,5,23.0,East,12835000.0
3112,3,37.0,North,12571000.0
1863,3,34.0,East,7134000.0
1978,1,29.0,South,6576000.0
3056,4,30.0,North,12980000.0
1275,4,4.0,South,4740000.0
4514,5,13.0,South,16838000.0
534,1,10.0,East,2518000.0
3652,3,8.0,South,13091000.0
2455,4,33.0,East,9714000.0
2085,1,11.0,North,8447000.0
4443,4,34.0,East,17344000.0
3573,4,34.0,North,15052000.0
1521,3,0.0,East,6291000.0
3961,2,39.0,West,13248000.0
3113,5,21.0,West,10786000.0
4343,5,28.0,South,15814000.0
2000,3,7.0,East,8021000.0
661,4,10.0,East,2863000.0
4797,1,,North,19146000.0
2481,4,13.0,South,9103000.0
1495,3,29.0,East,5755000.0
3842,5,34.0,South,13696000.0
4298,4,20.0,West,14721000.0
1775,5,36.0,East,7040000.0
1516,1,4.0,East,5756000.0
837,5,18.0,South,3751000.0
1378,5,13.0,East,6043000.0
1576,2,25.0,South,5420000.0
4493,2,3.0,East,17358000.0
879,2,24.0,North,3693000.0
992,5,24.0,South,4370000.0
2562,3,17.0,East,10322000.0
4384,5,39.0,West,14701000.0
564,3,7.0,East,2743000.0
3068,3,38.0,West,10580000.0
2527,2,39.0,West,8497000.0
3195,4,13.0,North,13353000.0
1995,1,31.0,South,7367000.0
891,2,37.0,East,3513000.0
4974,2,32.0,North,20526000.0
4061,4,22.0,East,16100000.0
2778,1,,West,9361000.0
3599,5,32.0,South,12975000.0
700,5,24.0,East,3243000.0
3604,2,16.0,East,13761000.0
2954,1,32.0,West,9491000.0
4145,2,1.0,East,16124000.0
1304,3,13.0,East,5641000.0
3231,2,39.0,West,10675000.0
3273,2,39.0,North,13658000.0
2070,5,38.0,West,7011000.0
3190,5,5.0,North,13899000.0
4340,5,5.0,South,16234000.0
1528,3,2.0,North,6602000.0
1002,5,6.0,North,4798000.0
4993,1,7.0,South,17778000.0
1370,4,14.0,North,6192000.0
4988,1,28.0,West,16135000.0
706,1,32.0,North,2526000.0
1984,5,29.0,South,7459000.0
1363,4,38.0,West,4553000.0
3290,4,26.0,South,11812000.0
1063,4,35.0,South,3772000.0
4691,3,28.0,East,17896000.0
2257,5,37.0,East,8949000.0
2178,4,32.0,South,8037000.0
3742,3,36.0,South,13241000.0
1559,2,26.0,South,5649000.0
2222,2,32.0,East,8530000.0
3814,3,3.0,East,15100000.0
3657,3,21.0,North,15245000.0
3125,5,1.0,North,13608000.0
3229,5,9.0,South,12600000.0
2097,2,4.0,West,7293000.0
3560,4,9.0,West,12831000.0
3193,2,32.0,East,12206000.0
4127,4,37.0,East,15910000.0
1863,4,12.0,East,7506000.0
2481,5,30.0,South,9495000.0
