Date,Product,Category,Region,Units,Amount
4/13/2025,Printer,Accessories,East,10,25532
12/15/2025,Mouse,Accessories,North,14,38346
9/28/2025,Laptop,Electronics,South,11,45436
4/17/2025,Monitor,Peripherals,West,18,30294
3/13/2025,Tablet,Peripherals,South,12,5948
7/8/2025,Mouse,Peripherals,South,12,29361
1/21/2025,Keyboard,Accessories,West,13,
4/13/2025,Laptop,Accessories,South,13,9574
5/2/2025,Laptop,Peripherals,South,19,6906
8/3/2025,Keyboard,Peripherals,North,19,32323
11/27/2025,Headphones,Peripherals,North,14,23791
3/29/2025,Keyboard,Accessories,West,4,42068
4/10/2025,Laptop,Peripherals,North,13,32503
12/26/2025,Laptop,Peripherals,North,8,47351
6/1/2025,Tablet,Electronics,South,19,34906
5/11/2025,Charger,Electronics,East,12,23812
5/30/2025,Mouse,Accessories,North,18,43608
11/5/2025,Keyboard,Peripherals,East,6,1882
9/15/2025,Mouse,Peripherals,North,18,34671
12/10/2025,Keyboard,Electronics,North,19,42279
10/21/2025,Printer,Accessories,West,5,3792
7/11/2025,Laptop,Electronics,West,9,42279
10/4/2025,Charger,Electronics,West,3,33687
6/10/2025,Tablet,Electronics,East,10,12911
11/10/2025,Charger,Electronics,South,19,37785
1/22/2025,Charger,Peripherals,North,3,15922
9/10/2025,Charger,Peripherals,North,15,42968
8/24/2025,Mouse,Electronics,North,1,32871
12/11/2025,Keyboard,Accessories,East,7,6193
2/18/2025,Speaker,Accessories,West,12,34035
2/28/2025,Printer,Accessories,South,17,15318
6/19/2025,Monitor,Accessories,East,5,31738
7/7/2025,Charger,Electronics,West,4,31374
9/28/2025,Headphones,Peripherals,East,12,27215
7/9/2025,Mouse,Accessories,South,18,28105
6/24/2025,Tablet,Electronics,West,17,34817
2/20/2025,Monitor,Accessories,East,19,31674
12/30/2025,Speaker,Accessories,South,9,10456
2/24/2025,Headphones,Electronics,North,4,39408
9/1/2025,Speaker,Peripherals,South,2,11337
11/16/2025,Monitor,Peripherals,North,4,4216
5/11/2025,Charger,Electronics,East,2,4981
11/3/2025,Headphones,Peripherals,West,15,24782
5/15/2025,Speaker,Electronics,West,2,7048
1/21/2025,Tablet,Electronics,East,4,38105
11/25/2025,Keyboard,Electronics,West,6,8258
6/16/2025,Laptop,Peripherals,West,7,44168
10/1/2025,Keyboard,Electronics,North,10,23677
3/30/2025,Monitor,Accessories,East,19,24522
11/12/2025,Mouse,Peripherals,South,19,41261
1/14/2025,Laptop,Peripherals,North,12,6042
8/30/2025,Printer,Peripherals,East,3,25976
9/22/2025,Tablet,Peripherals,North,13,31284
12/12/2025,Printer,Accessories,South,18,23240
2/22/2025,Headphones,Peripherals,South,8,25317
12/6/2025,Laptop,Peripherals,East,15,48096
4/2/2025,Printer,Electronics,South,1,16552
9/21/2025,Printer,Peripherals,North,3,35653
2/4/2025,Speaker,Accessories,South,8,47576
7/25/2025,Keyboard,Accessories,North,4,1171
3/22/2025,Speaker,Accessories,North,16,663
2/19/2025,Laptop,Accessories,South,10,41924
12/26/2025,Laptop,Peripherals,East,12,44502
1/2/2025,Monitor,Peripherals,West,14,5295
2/23/2025,Speaker,Accessories,South,14,11134
4/16/2025,Webcam,Accessories,North,2,5298
9/17/2025,Keyboard,Peripherals,North,5,22920
11/6/2025,Laptop,Accessories,South,5,29800
7/10/2025,Monitor,Electronics,East,6,24845
8/6/2025,Speaker,Accessories,East,13,11249
2/13/2025,Keyboard,Accessories,North,9,
6/11/2025,Speaker,Electronics,North,15,25621
7/21/2025,Printer,Electronics,East,14,37987
9/27/2025,Monitor,Peripherals,West,7,28911
12/17/2025,Keyboard,Peripherals,South,2,33861
10/31/2025,Charger,Electronics,North,7,21723
9/28/2025,Headphones,Electronics,North,6,7894
8/3/2025,Headphones,Peripherals,East,17,14556
9/9/2025,Keyboard,Accessories,South,2,28880
7/9/2025,Speaker,Electronics,East,3,26535
10/23/2025,Monitor,Peripherals,South,5,
8/1/2025,Headphones,Accessories,South,5,20377
7/27/2025,Monitor,Electronics,South,1,43904
8/25/2025,Headphones,Accessories,North,8,31411
12/4/2025,Printer,Peripherals,West,12,33284
2/22/2025,Speaker,Electronics,East,4,3691
10/7/2025,Printer,Accessories,West,13,33660
8/5/2025,Headphones,Electronics,East,15,25500
9/9/2025,Charger,Accessories,South,11,39540
7/7/2025,Charger,Peripherals,North,10,4131
2/10/2025,Printer,Peripherals,West,3,6672
6/6/2025,Charger,Electronics,North,14,42580
1/15/2025,Headphones,Accessories,East,16,24061
10/28/2025,Keyboard,Electronics,North,10,25317
3/6/2025,Printer,Electronics,North,10,20781
12/11/2025,Mouse,Accessories,West,12,29171
11/23/2025,Speaker,Accessories,South,9,25864
1/9/2025,Charger,Accessories,North,1,42174
12/10/2025,Charger,Peripherals,South,5,27925
5/9/2025,Laptop,Electronics,East,8,29102
5/16/2025,Webcam,Electronics,North,11,23753
3/4/2025,Printer,Peripherals,West,12,23972
5/19/2025,Tablet,Accessories,East,1,49730
3/22/2025,Charger,Peripherals,East,11,8580
6/12/2025,Speaker,Peripherals,West,5,7599
10/16/2025,Mouse,Peripherals,North,15,25931
9/18/2025,Charger,Electronics,North,5,31686
8/19/2025,Mouse,Peripherals,East,12,48184
2/10/2025,Headphones,Electronics,North,5,30611
1/28/2025,Headphones,Electronics,South,17,40351
5/15/2025,Webcam,Electronics,West,17,23114
7/20/2025,Keyboard,Accessories,South,12,27224
11/24/2025,Tablet,Electronics,North,15,42491
9/25/2025,Laptop,Electronics,East,15,5440
2/2/2025,Webcam,Accessories,West,6,29258
2/17/2025,Monitor,Electronics,North,12,36724
3/3/2025,Laptop,Peripherals,North,18,8288
8/4/2025,Printer,Peripherals,East,14,28582
10/20/2025,Speaker,Electronics,East,2,24534
4/9/2025,Monitor,Accessories,South,9,35979
6/21/2025,Monitor,Peripherals,West,5,11780
12/26/2025,Webcam,Accessories,West,1,18552
8/2/2025,Keyboard,Accessories,East,3,
2/4/2025,Webcam,Peripherals,South,6,23304
8/15/2025,Printer,Accessories,West,5,29403
